コード,銘柄名,市場区分,更新日
5440,共英製鋼,プライム,2023/08/09
5444,大和工業,プライム,2023/08/09
5445,東京鐵鋼,プライム,2023/08/09
5451,淀川製鋼所,プライム,2023/08/09
5461,中部鋼鈑,プライム,2023/08/09
5463,丸一鋼管,プライム,2023/08/09
5471,大同特殊鋼,プライム,2023/08/09
5480,日本冶金工業,プライム,2023/08/09
5481,山陽特殊製鋼,プライム,2023/08/09
5482,愛知製鋼,プライム,2023/08/09
5491,日本金属,プライム,2023/08/09
5541,大平洋金属,プライム,2023/08/09
5563,新日本電工,プライム,2023/08/09
5602,栗本鐵工所,プライム,2023/08/09
5632,三菱製鋼,プライム,2023/08/09
5659,日本精線,プライム,2023/08/09
5698,エンビプロ・ホールディングス,プライム,2023/08/09
3431,宮地エンジニアリンググループ,プライム,2023/08/09
3433,トーカロ,プライム,2023/08/09
3436,ＳＵＭＣＯ,プライム,2023/08/09
3443,川田テクノロジーズ,プライム,2023/08/09
3445,ＲＳ　Ｔｅｃｈｎｏｌｏｇｉｅｓ,プライム,2023/08/09
3446,ジェイテックコーポレーション,プライム,2023/08/09
5702,大紀アルミニウム工業所,プライム,2023/08/09
5703,日本軽金属ホールディングス,プライム,2023/08/09
5706,三井金属鉱業,プライム,2023/08/09
5707,東邦亜鉛,プライム,2023/08/09
5711,三菱マテリアル,プライム,2023/08/09
5713,住友金属鉱山,プライム,2023/08/09
5714,ＤＯＷＡホールディングス,プライム,2023/08/09
5715,古河機械金属,プライム,2023/08/09
5726,大阪チタニウムテクノロジーズ,プライム,2023/08/09
5727,東邦チタニウム,プライム,2023/08/09
5741,ＵＡＣＪ,プライム,2023/08/09
5757,ＣＫサンエツ,プライム,2023/08/09
5801,古河電気工業,プライム,2023/08/09
5802,住友電気工業,プライム,2023/08/09
5803,フジクラ,プライム,2023/08/09
5805,昭和電線ホールディングス,プライム,2023/08/09
5821,平河ヒューテック,プライム,2023/08/09
5851,リョービ,プライム,2023/08/09
5852,アーレスティ,プライム,2023/08/09
5857,アサヒホールディングス,プライム,2023/08/09
5901,東洋製罐グループホールディングス,プライム,2023/08/09
5902,ホッカンホールディングス,プライム,2023/08/09
5911,横河ブリッジホールディングス,プライム,2023/08/09
5915,駒井ハルテック,プライム,2023/08/09
5929,三和ホールディングス,プライム,2023/08/09
5930,文化シヤッター,プライム,2023/08/09
5932,三協立山,プライム,2023/08/09
5933,アルインコ,プライム,2023/08/09
5938,ＬＩＸＩＬ,プライム,2023/08/09
5943,ノーリツ,プライム,2023/08/09
5946,長府製作所,プライム,2023/08/09
5947,リンナイ,プライム,2023/08/09
5957,日東精工,プライム,2023/08/09
5959,岡部,プライム,2023/08/09
5975,東プレ,プライム,2023/08/09
5976,高周波熱錬,プライム,2023/08/09
5981,東京製綱,プライム,2023/08/09
5985,サンコール,プライム,2023/08/09
5988,パイオラックス,プライム,2023/08/09
5991,日本発条,プライム,2023/08/09
5992,中央発條,プライム,2023/08/09
